stateabrev,radiocallsgn,trackname,trackartist,trackalbum,trackstyles,trackmp3filename,captureyear,capturemonth,captureday,capturehour,captureminute,capturesecond
WA,KYYO,What’s Your Country Song,Thomas Rhett,What's Your Country Song,,KYYO2021_11_03_T11_57_12.mp3,2021,11,03,11,57,12
WA,KZAX,5 Million Ways To Kill A C.E.O.,The Coup,Party Music,"Conscious,Funk",KZAX2021_11_03_T14_34_15.mp3,2021,11,03,14,34,15
WA,KZAX,Kamane Tarhanin,Mdou Moctar,Kamane Tarhanin,"African,Folk Rock",KZAX2021_11_03_T15_34_59.mp3,2021,11,03,15,34,59
WA,KZQM,It's Still Rock and Roll to Me,Billy Joel,Piano Man: The Very Best of Billy Joel,"Folk Rock,Pop Rock,Art Rock,Acoustic,Ballad,Classic Rock",KZQM2021_10_25_T21_03_20.mp3,2021,10,25,21,03,20
WA,KZQM,Can't Take My Eyes Off You,Frankie Valli,The Very Best Of Frankie Valli & The 4 Seasons,,KZQM2021_11_03_T11_24_20.mp3,2021,11,03,11,24,20
WA,KZQM,You Wear it Well,Rod Stewart,The Story So Far-Very Best of,"Pop Rock,Soft Rock,Ballad",KZQM2021_11_03_T11_53_42.mp3,2021,11,03,11,53,42
WA,KZQM,"More, More, More, Pt. 1",Andrea True Connection,More Monty,"Synth-pop,Disco",KZQM2021_11_03_T14_52_21.mp3,2021,11,03,14,52,21
WA,KZQM,I Saw The Light,Todd Rundgren,Definitive Rock: Todd Rundgren,Classic Rock,KZQM2021_11_03_T15_52_54.mp3,2021,11,03,15,52,54
WA,KZTM,Cómo Te Olvido,La Arrolladora Banda El Limón De René Camacho,Cómo Te Olvido,"Norteño,Corrido,Cumbia,Tejano",KZTM2021_10_26_T12_03_49.mp3,2021,10,26,12,03,49
WA,KZTM,Me Quede Llorando,Industria Del Amor,Verano De Amor,,KZTM2021_11_03_T14_37_54.mp3,2021,11,03,14,37,54
WA,KZZU,Stay,The Kid LAROI,Stay,,KZZU2021_10_25_T21_03_06.mp3,2021,10,25,21,03,06
WA,KZZU,Love Again,Dua Lipa,Love Again,"Dance-pop,Synth-pop,Disco,Funk",KZZU2021_10_26_T12_11_38.mp3,2021,10,26,12,11,38
WA,KZZU,Who's In Your Head,Jonas Brothers,Who's In Your Head,,KZZU2021_10_26_T12_51_07.mp3,2021,10,26,12,51,07
WA,KZZU,Someday,OneRepublic,Human (Deluxe),,KZZU2021_10_27_T10_22_36.mp3,2021,10,27,10,22,36
WA,KZZU,Shivers,Ed Sheeran,Shivers,Dance-pop,KZZU2021_10_27_T12_05_38.mp3,2021,10,27,12,05,38
WA,KZZU,One Call Away,Charlie Puth,Nine Track Mind Deluxe,"Ballad,Contemporary R&B,Soul,Tropical House",KZZU2021_10_27_T12_31_57.mp3,2021,10,27,12,31,57
WA,KZZU,Señorita,Shawn Mendes,Señorita,,KZZU2021_11_03_T14_51_43.mp3,2021,11,03,14,51,43
WA,KZZU,Angel Baby,Troye Sivan,Angel Baby,"House,Dance-pop,Vocal,Electro House,Grime,Country,Soundtrack,Indie Pop",KZZU2021_11_03_T15_52_17.mp3,2021,11,03,15,52,17
